0,--- не имеет значения ---
4313,Абрамцево
4314,Алабино
4315,Апрелевка
4316,Архангельское
4317,Ашитково
4318,Бакшеево
4319,Балашиха
4320,Барыбино
4321,Белоомут
4322,Белые Столбы
4323,Бородино
4324,Бронницы
4325,Быково
4326,Валуево
4327,Вербилки
4328,Верея
4329,Видное
4330,Внуково
4331,Вождь Пролетариата
4332,Волоколамск
4333,Вороново
4334,Воскресенск
4335,Восточный
4336,Востряково
4337,Высоковск
4338,Голицино
4339,Деденево
4340,Дедовск
4341,Джержинский
4342,Дмитров
4343,Долгопрудный
4344,Домодедово
4345,Дорохово
4346,Дрезна
4347,Дубки
4348,Дубна
4349,Егорьевск
4350,Железнодорожный
4351,Жилево
4352,Жуковский
4353,Загорск
4354,Загорянский
4355,Запрудная
4356,Зарайск
4357,Звенигород
4358,Зеленоград
4359,Ивантеевка
4360,Икша
4361,Ильинский
4362,Истра
4363,Королев
4364,Кашира
4365,Керва
4366,Климовск
4367,Клин
4368,Клязьма
4369,Кожино
4370,Кокошкино
4371,Коломна
4372,Колюбакино
4373,Косино
4374,Котельники
4375,Красково
4376,Красноармейск
4377,Красногорск
4378,Краснозаводск
4379,Красный Ткач
4380,Крюково
4381,Кубинка
4382,Купавна
4383,Куровское
4384,Лесной Городок
4385,Ликино-Дулево
4386,Лобня
4387,Лопатинский
4388,Лосино-Петровский
4389,Лотошино
4390,Лукино
4391,Луховицы
4392,Лыткарино
4393,Львовский
4394,Люберцы
4395,Малаховка
4396,Михайловское
4397,Михнево
4398,Можайск
4399,Монино
4400,Москва
4401,Муханово
4402,Мытищи
4403,Наро-Фоминск
4404,Нахабино
4405,Некрасовка
4406,Немчиновка
4407,Новобратцевский
4408,Новоподрезково
4409,Ногинск
4410,Обухово
4411,Одинцово
4412,Ожерелье
4413,Озеры
4414,Октябрьский
4415,Опалиха
4416,Орехово-Зуево
4417,Павловский Посад
4418,Первомайский
4419,Пески
4420,Пироговский
4421,Подольск
4422,Полушкино
4423,Правдинский
4424,Привокзальный
4425,Пролетарский
4426,Пушкино
4427,Пущино
4428,Радовицкий
4429,Раменское
4430,Реутов
4431,Решетниково
4432,Родники
4433,Рошаль
4434,Рублево
4435,Руза
4436,Салтыковка
4437,Северный
4438,Сергиев Посад
4439,Серебряные Пруды
4440,Серпухов
4441,Солнечногорск
4442,Солнцево
4443,Софрино
4444,Старая Купавна
4445,Старбеево
4446,Ступино
4447,Сходня
4448,Талдом
4449,Текстильщик
4450,Темпы
4451,Тишково
4452,Томилино
4453,Троицк
4454,Туголесский Бор
4455,Тучково
4456,Уваровка
4457,Удельная
4458,Успенское
4459,Фирсановка
4460,Фосфоритный
4461,Фрязино
4462,Фряново
4463,Химки
4464,Хорлово
4465,Хотьково
4466,Черкизово
4467,Черноголовка
4468,Черусти
4469,Чехов
4470,Шарапово
4471,Шатура
4472,Шатурторф
4473,Шаховская
4474,Шереметьевский
4475,Щелково
4476,Щербинка
4477,Электрогорск
4478,Электросталь
4479,Электроугли
4480,Яхрома
3118538,Королев
3138841,Протвино
7592923,Байконур
7593075,Краснознаменск
